diary	emotion
늦은 시간이라 집에 가는 길에 너무 배가 고파서 편의점에서 참치마요 삼각김밥을 하나 사서 먹으면서 걸어갔다. 집에 도착해서는 씻고 잠시 친구와 통화하다가 잠들었다. 오늘 하루는 힘들었지만, 떡볶이도 먹고 단어 시험도 잘 봐서 보람찬 하루였다.	중립
나는 평소에 얌전한 학생이야. 가끔 모범생이라고 칭찬도 받았는데, 오늘 강당에서 무슨 행사가 있어서 시작 전에 친구랑 수다를 떨었는데 선생님 한 분이 떠든 사람 나오라고 하셔서 불려서 나갔는데 전교생 앞에서 따귀를 맞았어. 그 순간 아프다기 보다는 너무 창피하고 모멸감이 느껴지는거야. 지금도 그 생각만 하면 화가 나고, 눈물이 차올라.	당황
"오늘 발표를 하는데 너무 떨리고 설레. 그런데 실수를 할까봐 또 걱정도 되면서 겁도 나. 발표 연습을 해도 손 떨리는 거랑 긴장되는 건 어쩔 수 없나봐. 자꾸 긴장을 많이 하다보니 몸도 가만히 못 두고 말도 빨라져. 그래도 발표는 계속하면서 살아야하니까 어쩔 수 없이 해야 해. 해야한다고 말하니까 2pm 해야해 생각난다. 준호 직캠 봐야겠다. 너무 신나!"""	기쁨
"아니 오늘 독서실 에어컨 고장나서 개빡쳐. 개 더워죽겠는데 에어컨 없으니까 책 가지고 집와서 하는데 집중 하나도 안 됨 씨발! 책도 존나 많아. 에어컨 여름 오기전에 미리미리 확인해야 하는거 아니야? 한달에 한번씩 쉬면서 미리 점검도 안 하고 뭐하는거야. 공간대여하는게 자기들 사업수단아니야? 아 너무 빡쳐. 계속 이딴 식으로 운영하면 독서실 바꿔버릴거야."""	분노
내 말 좀 들어봐바. 아니 내 남자친구 부모님이 자꾸 남자친구한테 선을 보라고 해. 나도 남자친구를 너무 사랑하지만 나는 아직 모아놓은 돈도 없고, 나도 안정되지 않아서 아직 결혼은 어려워. 근데 남자친구가 너무 효자인거야. 그래서 어머님이 선을 보라고 하면 그 자리를 다 나가. 너무 화가 나는데 내가 할 수 있는게 없잖아. 오늘도 내가 남자친구의 선자리를 잡으러 갔는데 전남자친구를 마주쳐버렸잖아. 전남자친구한테 그런 장면을 들킨게 너무 당황스럽고 화나.	분노
첫눈 오는 이런 오후에 그에게 전화를 걸 수만 있다면 기쁠텐데 1년 전으로 갈 수 있다면 지금 우린 달라졌을까? 눈물 차 올라서 아무말도 못하고, 후회만 가득가득 했던 그 크리스마스가 생각나	슬픔
오늘은 내가 한 말이 친구에게 상처를 준 것 같아 마음이 무겁다. 단지 농담이었는데, 친구의 표정이 어두워지는 것을 보니 내 진심이 전해지지 않은 것 같다. 어떻게 사과해야 할지, 그리고 어떻게 다시 친구의 마음을 풀어줄 수 있을지 고민이 된다. 나도 모르게 상처를 주는 내가 미워지는 날이다.	슬픔
오늘은 친구의 말 한마디에 깊은 상처를 받았다. 아무렇지 않은 척했지만, 마음 한구석이 쿡쿡 아려온다. 왜 나만 이렇게 힘든 걸까 하는 생각에 잠겨 한참을 울었다.	슬픔
오늘은 친구들과 함께 놀이공원에 다녀와서 정말 신나는 하루였다. 오랜만에 마음껏 웃고 즐기며 스트레스를 모두 날려버렸다. 다 같이 먹은 아이스크림까지 완벽한 하루였다.	기쁨
오늘은 이유 모를 불안감이 하루 종일 나를 짓눌렀다. 마음이 쉽게 가라앉지 않아 무슨 일을 해도 집중할 수 없었다. 잠들기 전까지 이 불안이 가라앉을지 걱정이다.	불안
오늘은 오랜만에 가족들과 함께 공원에서 피크닉을 했다. 따뜻한 햇살 아래 맛있는 음식을 나누며 웃고 떠드는 시간이 정말 즐거웠다. 이렇게 행복한 순간들이 더 많아지길 바란다.	행복
오늘 밤, 갑자기 집 앞에서 이상한 소리가 들려서 너무 무서웠다. 창문을 살짝 열어봤지만 아무도 없어서 더 불안해졌다. 한동안 가슴이 두근거려 잠을 이루기 힘들었다.	불안
오늘 여자친구에게 이별 통보를 받고 마음이 무너졌다. 이유를 들었지만 그 말을 이해하기엔 너무 갑작스러웠다. 빈자리가 크게 느껴져 하루 종일 멍하니 있었다.	슬픔
오늘은 업무가 너무 많아서 하루 종일 정신없이 바빴다. 일찍 집에 돌아오고 싶었지만 야근까지 하느라 몸이 천근만근이다. 이제 씻고 침대에 눕기만 해도 잠이 쏟아질 것 같다.	슬픔
오늘 회사에서 중요한 프로젝트가 무산되었다는 소식을 들었다. 그동안의 노력과 시간이 모두 헛된 것 같아 무력감이 밀려왔다. 집에 돌아와 혼자 시간을 보내며, 이 상황에서 벗어날 방법을 찾지 못해 우울감에 빠져들었다.	슬픔
오늘 학교에서 그동안 몰랐던 친구에게 고백을 받았다. 너무 놀라서 잠시 말을 잇지 못했지만, 진심 어린 고백에 마음이 따뜻해졌다. 앞으로 어떻게 해야 할지 고민이 되면서도 설레는 하루였다.	기쁨
